0,0.70477,0.59599,1.1045,0.91707,0.55106,0.97427,1.7378,1.9113,1.5528
0.70477,0,0.53788,0.7838,0.53218,1.1065,1.3203,1.033,1.6954,1.1679
0.59599,0.53788,0,1.1552,1.0701,1.1471,1.5703,1.5709,2.0668,1.7058
1.1045,0.7838,1.1552,0,1.1239,1.1099,1.8486,1.8168,0.9116,1.7597
0.91707,0.53218,1.0701,1.1239,0,1.4681,0.78816,1.5652,1.5089,0.63573
0.55106,1.1065,1.1471,1.1099,1.4681,0,0.99738,1.1911,1.9344,2.1039
0.97427,1.3203,1.5703,1.8486,0.78816,0.99738,0,0.90899,0.93704,1.4239
1.7378,1.033,1.5709,1.8168,1.5652,1.1911,0.90899,0,0.933,1.0527
1.9113,1.6954,2.0668,0.9116,1.5089,1.9344,0.93704,0.933,0,0.8732
1.5528,1.1679,1.7058,1.7597,0.63573,2.1039,1.4239,1.0527,0.8732,0
